NME_AREA_CIENCIA,MONTO_FINANCIADO_AP,AREA_TEMATICA
No disponible,306784457,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,341998161,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,341981630,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,536248797,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,341715890,CANCER
No disponible,241972667,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,339226380,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,322318997,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,341981630,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,495575205,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495576098,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495576098,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495576098,CALIDAD E INOCUIDAD DE INSUMOS Y PRODUCTOS
No disponible,495576098,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495575694,MANEJO AMBIENTAL Y SOSTENIBILIDAD
No disponible,494656471,CALIDAD E INOCUIDAD DE INSUMOS Y PRODUCTOS
No disponible,495576097,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495305102,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495576097,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495444891,MANEJO COSECHA POSCOSECHA Y TRANSFORMACION
No disponible,495576098,MANEJO AMBIENTAL Y SOSTENIBILIDAD
No disponible,495576098,SOCIO ECONOMIA INTELIGENCIA COMPETITIVA Y DESARROLLO EMPRESARIAL
No disponible,495576098,SOCIO ECONOMIA INTELIGENCIA COMPETITIVA Y DESARROLLO EMPRESARIAL
No disponible,479838466,4.1.1. Caracterizacion de la biodiversidad a diferentes escalas en ecosistemas estrategicos del departamento de Narino.
No disponible,481529364,4.1.1. Caracterizacion de la biodiversidad a diferentes escalas en ecosistemas estrategicos del departamento de Narino.
No disponible,467240865,4.1.2. Investigaciones sobre uso sostenible de la flora y fauna del departamento de Narino.
No disponible,484093338,4.1.3. Investigaciones sobre resiliencia y medidas de adaptacion al cambio climatico de sistemas socio-ecologicos en el departamento de Narino.
No disponible,484960206,4.1.3. Investigaciones sobre resiliencia y medidas de adaptacion al cambio climatico de sistemas socio-ecologicos en el departamento de Narino.
No disponible,475933402,4.2.1.	Investigacion para mejorar la eficiencia en el uso de los recursos naturales la productividad y la sostenibilidad ambiental de pequenos y medianos productores del departamento de Narino.
